Index	Moves	Version	MoveID	CanUseMove	Type	Quality	Category	Power	Accuracy	PP	Priority	HitMin	HitMax	Inflict	InflictPercent	RawInflictCount	TurnMin	TurnMax	CritStage	Flinch	EffectSequence	Recoil	RawHealing	RawTarget	Stat1	Stat2	Stat3	Stat1Stage	Stat2Stage	Stat3Stage	Stat1Percent	Stat2Percent	Stat3Percent	GigantamaxPower	Flag_MakesContact	Flag_Charge	Flag_Recharge	Flag_Protect	Flag_Reflectable	Flag_Snatch	Flag_Mirror	Flag_Punch	Flag_Sound	Flag_Gravity	Flag_Defrost	Flag_DistanceTriple	Flag_Heal	Flag_IgnoreSubstitute	Flag_FailSkyBattle	Flag_AnimateAlly	Flag_Dance	Flag_Metronome	InflictCount	Healing	Target
10	抓	5	10	True	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
11	夹住	5	11	True	0	0	1	55	100	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
12	断头钳	5	12	True	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
13	旋风刀	5	13	False	0	0	2	80	100	10	0	0	0	0	0	0	0	0	1	0	39	0	0	5	0	0	0	0	0	0	0	0	0	130	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
14	剑舞	5	14	True	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	50	0	0	7	1	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	None	None	Self
15	居合斩	5	15	True	0	0	1	50	95	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
16	起风	5	16	True	2	0	2	40	100	35	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
17	翅膀攻击	5	17	True	2	0	1	60	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
18	吹飞	5	18	True	0	12	0	0	101	20	250	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	True	None	None	AnyExceptSelf
19	飞翔	5	19	True	2	0	1	90	95	15	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	130	True	True	False	True	False	False	True	False	False	True	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
20	绑紧	5	20	True	0	4	1	15	85	20	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
21	摔打	5	21	True	0	0	1	80	75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
22	藤鞭	5	22	True	11	0	1	45	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
23	踩踏	5	23	True	0	0	1	65	100	20	0	0	0	0	0	0	0	0	0	30	150	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
24	二连踢	5	24	True	1	0	1	30	100	30	0	2	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
25	百万吨重踢	5	25	True	0	0	1	120	75	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
26	飞踢	5	26	False	1	0	1	100	95	10	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
27	回旋踢	5	27	False	1	0	1	60	85	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
28	泼沙	5	28	True	4	2	0	0	100	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
29	头锤	5	29	True	0	0	1	70	100	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
30	角撞	5	30	True	0	0	1	65	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
31	乱击	5	31	True	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
32	角钻	5	32	True	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
33	撞击	5	33	True	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
34	泰山压顶	5	34	True	0	4	1	85	100	15	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	Permanent	None	AnyExceptSelf
35	紧束	5	35	True	0	4	1	15	90	20	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
36	猛撞	5	36	True	0	0	1	90	85	20	0	0	0	0	0	0	0	0	0	0	48	231	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
37	大闹一番	5	37	True	0	0	1	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	RandomOpponent
38	舍身冲撞	5	38	True	0	0	1	120	100	15	0	0	0	0	0	0	0	0	0	0	198	223	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
39	摇尾巴	5	39	True	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
40	毒针	5	40	True	3	4	1	15	100	35	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	70	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
41	双针	5	41	False	6	4	1	25	100	20	0	2	2	5	20	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
42	飞弹针	5	42	True	6	0	1	25	95	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
43	瞪眼	5	43	True	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	255	0	0	100	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
44	咬住	5	44	True	16	0	1	60	100	25	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
45	叫声	5	45	True	0	2	0	0	100	40	0	0	0	0	0	0	0	0	0	0	18	0	0	5	1	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	None	None	AllAdjacentOpponents
46	吼叫	5	46	True	0	12	0	0	101	20	250	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	True	False	False	False	False	True	False	True	False	True	None	None	AnyExceptSelf
47	唱歌	5	47	True	0	1	0	0	55	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
48	超音波	5	48	True	0	1	0	0	55	20	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
49	音爆	5	49	False	0	0	2	1	90	20	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
50	定身法	5	50	True	0	13	0	0	100	20	0	0	0	13	0	2	4	4	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
51	溶解液	5	51	True	3	6	2	40	100	30	0	0	0	0	0	0	0	0	0	0	72	0	0	5	4	0	0	255	0	0	10	0	0	70	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
52	火花	5	52	True	9	4	2	40	100	25	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
53	喷射火焰	5	53	True	9	4	2	90	100	15	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
54	白雾	5	54	True	14	11	0	0	101	30	0	0	0	0	0	0	0	0	0	0	46	0	0	12	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	SideSelf
55	水枪	5	55	True	10	0	2	40	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
56	水炮	5	56	True	10	0	2	110	80	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
57	冲浪	5	57	True	10	0	2	90	100	15	0	0	0	0	0	0	0	0	0	0	257	0	0	4	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AllAdjacent
58	冰冻光束	5	58	True	14	4	2	90	100	10	0	0	0	3	10	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
59	暴风雪	5	59	True	14	4	2	110	70	5	0	0	0	3	10	1	0	0	0	0	260	0	0	5	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AllAdjacentOpponents
60	幻象光线	5	60	True	13	4	2	65	100	20	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
61	泡沫光线	5	61	True	10	6	2	65	100	20	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	255	0	0	10	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
62	极光束	5	62	True	14	6	2	65	100	20	0	0	0	0	0	0	0	0	0	0	68	0	0	0	1	0	0	255	0	0	10	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
63	破坏光线	5	63	True	0	0	2	150	90	5	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	150	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
64	啄	5	64	True	2	0	1	35	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
65	啄钻	5	65	True	2	0	1	80	100	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
66	地狱翻滚	5	66	True	1	0	1	80	80	20	0	0	0	0	0	0	0	0	0	0	48	231	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
67	踢倒	5	67	True	1	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
68	双倍奉还	5	68	True	1	0	1	1	100	20	251	0	0	0	0	0	0	0	0	0	89	0	0	13	0	0	0	0	0	0	0	0	0	75	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Counter
69	地球上投	5	69	True	1	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	75	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
70	怪力	5	70	True	0	0	1	80	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
71	吸取	5	71	True	11	8	2	20	100	25	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
72	超级吸取	5	72	True	11	8	2	40	100	15	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
73	寄生种子	5	73	True	11	1	0	0	90	10	0	0	0	18	0	1	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
74	生长	5	74	True	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	316	0	0	7	1	3	0	1	1	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
75	飞叶快刀	5	75	True	11	0	1	55	95	25	0	0	0	0	0	0	0	0	1	0	43	0	0	5	0	0	0	0	0	0	0	0	0	110	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
76	日光束	5	76	True	11	0	2	120	100	10	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	140	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
77	毒粉	5	77	True	3	1	0	0	75	35	0	0	0	5	0	1	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
78	麻痹粉	5	78	True	11	1	0	0	75	30	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
79	催眠粉	5	79	True	11	1	0	0	75	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
80	花瓣舞	5	80	True	11	0	2	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	True	None	None	RandomOpponent
81	吐丝	5	81	True	6	2	0	0	95	40	0	0	0	0	0	0	0	0	0	0	60	0	0	5	5	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
82	龙之怒	5	82	False	15	0	2	1	100	10	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
83	火焰旋涡	5	83	True	9	4	2	35	85	15	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
84	电击	5	84	True	12	4	2	40	100	30	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
85	十万伏特	5	85	True	12	4	2	90	100	15	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
86	电磁波	5	86	True	12	1	0	0	90	20	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
87	打雷	5	87	True	12	4	2	110	70	10	0	0	0	1	30	1	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
88	落石	5	88	True	5	0	1	50	90	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
89	地震	5	89	True	4	0	1	100	100	10	0	0	0	0	0	0	0	0	0	0	147	0	0	4	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AllAdjacent
90	地裂	5	90	True	4	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
91	挖洞	5	91	True	4	0	1	80	100	10	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	130	True	True	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
92	剧毒	5	92	True	3	1	0	0	90	10	0	0	0	5	0	1	15	15	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
93	念力	5	93	True	13	4	2	50	100	25	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
94	精神强念	5	94	True	13	6	2	90	100	10	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	255	0	0	10	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
95	催眠术	5	95	True	13	1	0	0	60	20	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
96	瑜伽姿势	5	96	False	13	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	10	0	0	7	1	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
97	高速移动	5	97	True	13	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	52	0	0	7	5	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
98	电光一闪	5	98	True	0	0	1	40	100	30	1	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
99	愤怒	5	99	False	0	0	1	20	100	20	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
100	瞬间移动	5	100	True	13	13	0	0	101	20	250	0	0	0	0	0	0	0	0	0	153	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
101	黑夜魔影	5	101	True	7	0	2	1	100	15	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
102	模仿	5	102	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	None	None	AnyExceptSelf
103	刺耳声	5	103	True	0	2	0	0	85	40	0	0	0	0	0	0	0	0	0	0	59	0	0	0	2	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	None	None	AnyExceptSelf
104	影子分身	5	104	True	0	2	0	0	101	15	0	0	0	0	0	0	0	0	0	0	16	0	0	7	7	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
105	自我再生	5	105	True	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	None	50	Self
